member_name	member_code	party	made_motion	vote	vote_num	purpose	purpose_notes	outcome	congress	committee	committee_code	report_num	report_part	res_type	res_num	res_title	notes
Waxman, Henry A.	14280	100	0	1	33	Amendment	An amendment to the substitute amendment by Mr. Dingell, No. 1A, to fund innovative energy technologies by reforming the Title XVII loan program of the Energy Policy Act of 2005 and establishing the Clean Energy Deployment Administration within the U.S. Department of Energy.	1	111	Energy and Commerce	128	137	1	HR	2454	American Clean Energy and Security Act of 2009	
Dingell, John D., Jr.	2605	100	1	1	33	Amendment	An amendment to the substitute amendment by Mr. Dingell, No. 1A, to fund innovative energy technologies by reforming the Title XVII loan program of the Energy Policy Act of 2005 and establishing the Clean Energy Deployment Administration within the U.S. Department of Energy.	1	111	Energy and Commerce	128	137	1	HR	2454	American Clean Energy and Security Act of 2009	
Markey, Edward J.	14435	100	0	1	33	Amendment	An amendment to the substitute amendment by Mr. Dingell, No. 1A, to fund innovative energy technologies by reforming the Title XVII loan program of the Energy Policy Act of 2005 and establishing the Clean Energy Deployment Administration within the U.S. Department of Energy.	1	111	Energy and Commerce	128	137	1	HR	2454	American Clean Energy and Security Act of 2009	
Boucher, Frederick C.	15010	100	0	1	33	Amendment	An amendment to the substitute amendment by Mr. Dingell, No. 1A, to fund innovative energy technologies by reforming the Title XVII loan program of the Energy Policy Act of 2005 and establishing the Clean Energy Deployment Administration within the U.S. Department of Energy.	1	111	Energy and Commerce	128	137	1	HR	2454	American Clean Energy and Security Act of 2009	
Pallone, Frank, Jr.	15454	100	0	1	33	Amendment	An amendment to the substitute amendment by Mr. Dingell, No. 1A, to fund innovative energy technologies by reforming the Title XVII loan program of the Energy Policy Act of 2005 and establishing the Clean Energy Deployment Administration within the U.S. Department of Energy.	1	111	Energy and Commerce	128	137	1	HR	2454	American Clean Energy and Security Act of 2009	
Gordon, Bart	15100	100	0	1	33	Amendment	An amendment to the substitute amendment by Mr. Dingell, No. 1A, to fund innovative energy technologies by reforming the Title XVII loan program of the Energy Policy Act of 2005 and establishing the Clean Energy Deployment Administration within the U.S. Department of Energy.	1	111	Energy and Commerce	128	137	1	HR	2454	American Clean Energy and Security Act of 2009	
Rush, Bobby L.	29346	100	0	1	33	Amendment	An amendment to the substitute amendment by Mr. Dingell, No. 1A, to fund innovative energy technologies by reforming the Title XVII loan program of the Energy Policy Act of 2005 and establishing the Clean Energy Deployment Administration within the U.S. Department of Energy.	1	111	Energy and Commerce	128	137	1	HR	2454	American Clean Energy and Security Act of 2009	
Eshoo, Anna G.	29312	100	0	1	33	Amendment	An amendment to the substitute amendment by Mr. Dingell, No. 1A, to fund innovative energy technologies by reforming the Title XVII loan program of the Energy Policy Act of 2005 and establishing the Clean Energy Deployment Administration within the U.S. Department of Energy.	1	111	Energy and Commerce	128	137	1	HR	2454	American Clean Energy and Security Act of 2009	
Stupak, Bart	29360	100	0	1	33	Amendment	An amendment to the substitute amendment by Mr. Dingell, No. 1A, to fund innovative energy technologies by reforming the Title XVII loan program of the Energy Policy Act of 2005 and establishing the Clean Energy Deployment Administration within the U.S. Department of Energy.	1	111	Energy and Commerce	128	137	1	HR	2454	American Clean Energy and Security Act of 2009	
Engel, Eliot L.	15603	100	0	1	33	Amendment	An amendment to the substitute amendment by Mr. Dingell, No. 1A, to fund innovative energy technologies by reforming the Title XVII loan program of the Energy Policy Act of 2005 and establishing the Clean Energy Deployment Administration within the U.S. Department of Energy.	1	111	Energy and Commerce	128	137	1	HR	2454	American Clean Energy and Security Act of 2009	
Green, Gene	39304	100	0	1	33	Amendment	An amendment to the substitute amendment by Mr. Dingell, No. 1A, to fund innovative energy technologies by reforming the Title XVII loan program of the Energy Policy Act of 2005 and establishing the Clean Energy Deployment Administration within the U.S. Department of Energy.	1	111	Energy and Commerce	128	137	1	HR	2454	American Clean Energy and Security Act of 2009	
DeGette, Diana	29710	100	0	1	33	Amendment	An amendment to the substitute amendment by Mr. Dingell, No. 1A, to fund innovative energy technologies by reforming the Title XVII loan program of the Energy Policy Act of 2005 and establishing the Clean Energy Deployment Administration within the U.S. Department of Energy.	1	111	Energy and Commerce	128	137	1	HR	2454	American Clean Energy and Security Act of 2009	
Capps, Lois	29774	100	0	1	33	Amendment	An amendment to the substitute amendment by Mr. Dingell, No. 1A, to fund innovative energy technologies by reforming the Title XVII loan program of the Energy Policy Act of 2005 and establishing the Clean Energy Deployment Administration within the U.S. Department of Energy.	1	111	Energy and Commerce	128	137	1	HR	2454	American Clean Energy and Security Act of 2009	
Doyle, Michael F.	29561	100	0	1	33	Amendment	An amendment to the substitute amendment by Mr. Dingell, No. 1A, to fund innovative energy technologies by reforming the Title XVII loan program of the Energy Policy Act of 2005 and establishing the Clean Energy Deployment Administration within the U.S. Department of Energy.	1	111	Energy and Commerce	128	137	1	HR	2454	American Clean Energy and Security Act of 2009	
Harman, Jane	29318	100	0	1	33	Amendment	An amendment to the substitute amendment by Mr. Dingell, No. 1A, to fund innovative energy technologies by reforming the Title XVII loan program of the Energy Policy Act of 2005 and establishing the Clean Energy Deployment Administration within the U.S. Department of Energy.	1	111	Energy and Commerce	128	137	1	HR	2454	American Clean Energy and Security Act of 2009	
